Repo,URL
c,git@bitbucket.org:robinrob/c.git
dotfiles,git@bitbucket.org:robinrob/dotfiles.git
force.com,git@bitbucket.org:robinrob/force.com.git
html-css,git@bitbucket.org:robinrob/html-css.git
java,git@bitbucket.org:robinrob/java.git
javascript,git@bitbucket.org:robinrob/javascript.git
perl,git@bitbucket.org:robinrob/perl.git
python,git@bitbucket.org:robinrob/python.git
php,git@bitbucket.org:robinrob/php.git
robins-rakefile,git@bitbucket.org:robinrob/rakefile.git
ruby,git@bitbucket.org:robinrob/ruby.git
sh,git@bitbucket.org:robinrob/sh.git
