Repo,URL,Branch
rake,git@bitbucket.org:robinrob/rakefile.git,master
awk,git@bitbucket.org:robinrob/awk.git,master
c,git@bitbucket.org:robinrob/c.git,master
c-plus-plus,git@bitbucket.org:robinrob/c-plus-plus.git,master
dotfiles,git@bitbucket.org:robinrob/dotfiles.git,master
force.com,git@bitbucket.org:robinrob/force.com.git,master
html-css,git@bitbucket.org:robinrob/html-css.git,master
java,git@bitbucket.org:robinrob/java.git,master
javascript,git@bitbucket.org:robinrob/javascript.git,master
perl,git@bitbucket.org:robinrob/perl.git,master
python,git@bitbucket.org:robinrob/python.git,master
php,git@bitbucket.org:robinrob/php.git,master
ruby,git@bitbucket.org:robinrob/ruby.git,master
sh,git@bitbucket.org:robinrob/sh.git,master
zsh,git@bitbucket.org:robinrob/zsh.git,master
local,git@bitbucket.org:robinrob/local.git,master
submodule,git@bitbucket.org:robinrob/submodule.git,master
